name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%
Fp Isdin Fw Magic Glow Spf30,20654836,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,20,4.65,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20654836_1/w=800,h=800,fit=pad",104.9,124.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20654836/Fp-Isdin-Fw-Magic-Glow-Spf30/20654836,16.01281024819856
Ropa De Baño Mujer Womens Secret,20546893,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20546893_1/w=800,h=800,fit=pad",139.9,269.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20546889/Ropa-De-Bano-Mujer-Womens-Secret/20546893,48.16598740274175
Sandalias Mujer  Fiji Light Tan,20733396,BILLABONG,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20733396_1/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20733393/Sandalias-Mujer-Fiji-Light-Tan/20733396,20.000000000000004
Traje De Baño Bebé Niña Yamp,883234699,YAMP,Mundo Bebé,Ropa de bebé,Ropa de bebé niña,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883234699_1/w=800,h=800,fit=pad",29.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883234692/Traje-De-Bano-Bebe-Nina-Yamp/883234699,50.100166944908175
Sandalias Mujer Michael Kors Splash Slide,20462005,MICHAEL KORS,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20462005_1/w=800,h=800,fit=pad",249.5,499.0,falabella,https://www.falabella.com.pe/falabella-pe/product/20462001/Sandalias-Mujer-Michael-Kors-Splash-Slide/20462005,50.0
Sandalias Hombre Tides 2.0 Black,20733292,BILLABONG,Calzado y zapatillas,Zapatos,Zapatos Hombre,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20733292_1/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20733290/Sandalias-Hombre-Tides-2.0-Black/20733292,20.000000000000004
Sandalias Hombre Rider Negro,20640611,RIDER,Calzado y zapatillas,Zapatos,Zapatos Hombre,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20640611_1/w=800,h=800,fit=pad",27.93,39.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20640609/Sandalias-Hombre-Rider-Negro/20640611,30.0
Sandalias Hombre Rider Negro,20640634,RIDER,Calzado y zapatillas,Zapatos,Zapatos Hombre,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20640634_1/w=800,h=800,fit=pad",27.93,39.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20640633/Sandalias-Hombre-Rider-Negro/20640634,30.0
Bikini Mujer Denimlab,883174406,DENIMLAB,Moda y accesorios,Mujer,Moda Mujer,4,4.5,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883174406_1/w=800,h=800,fit=pad",59.89,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883174405/Bikini-Mujer-Denimlab/883174406,50.05004170141785
Sandalias Mujer  Fiji Black 1,20733364,BILLABONG,Calzado y zapatillas,Zapatos,Zapatos Mujer,1,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20733364_1/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20733363/Sandalias-Mujer-Fiji-Black-1/20733364,20.000000000000004
Top De Bikini Mujer Womens Secret,20547069,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547069_1/w=800,h=800,fit=pad",79.9,149.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547067/Top-De-Bikini-Mujer-Womens-Secret/20547069,46.6977985323549
Esthederm Fotoprotector Photo Reverse Aclarante Antimanchas 50ml,20176489,ESTHEDERM,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20176489_1/w=800,h=800,fit=pad",229.0,229.0,falabella,https://www.falabella.com.pe/falabella-pe/product/20176489/Esthederm-Fotoprotector-Photo-Reverse-Aclarante-Antimanchas-50ml/20176489,0.0
Sandalias Mujer Reef  Light Azul,20697552,REEF,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20697552_3/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20697547/Sandalias-Mujer-Reef-Light-Azul/20697552,20.000000000000004
Uriage Bebé 1era Crema Mineral Spf50+ 50ml - Protección Solar Muy Alta Para Bebés,20272231,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,1,4.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20272231_1/w=800,h=800,fit=pad",72.7,96.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20272231/Uriage-Bebe-1era-Crema-Mineral-Spf50+-50ml-Proteccion-Solar-Muy-Alta-Para-Bebes/20272231,24.97420020639835
Uriage Bariésun Aceite Seco Spf50+ 50ml - Protege La Piel E Ilumina El Bronceado,19564559,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19564559_1/w=800,h=800,fit=pad",89.9,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19564559/Uriage-Bariesun-Aceite-Seco-Spf50+-50ml-Protege-La-Piel-E-Ilumina-El-Bronceado/19564559,25.0208507089241
